Quarter,Year,Data,CCG_Code,AT_CODE,Region_Code,Patient_Type,Band_1,Band_2,Band_3,Urgent_Occasional,Free___Arrest_of_Bleeding,Free___Bridge_Repairs,Free___Denture_Repair,Free___Prescription_Issue,Free___Removal_of_sutures,Total
Q1,2013/2014,Provisional,00C,Q45,Y54,Child,4455,4197,336,327.6,0,0,1,0,0,9316.6
Q1,2013/2014,Provisional,00C,Q45,Y54,Non-Paying Adult,2098,5496,6408,912,0,1.2,33,0,0,14948.2
Q1,2013/2014,Provisional,00C,Q45,Y54,Paying Adult,6511,9060,6036,1371.6,0,4.8,153,0,0,23136.4
Q1,2013/2014,Provisional,00D,Q45,Y54,Child,8239,8559,816,930,0,0,2,0,0,18546
Q1,2013/2014,Provisional,00D,Q45,Y54,Non-Paying Adult,4316,13308,20172,2600.4,0,1.2,133,0,5,40535.6
Q1,2013/2014,Provisional,00D,Q45,Y54,Paying Adult,11896,21561,13920,3120,1.2,1.2,373,0,8,50880.4
Q1,2013/2014,Provisional,00F,Q49,Y54,Child,7263,7011,648,344.4,0,0,3,0,0,15269.4
Q1,2013/2014,Provisional,00F,Q49,Y54,Non-Paying Adult,3524,10563,17808,1432.8,0,1.2,77,0,2,33408
Q1,2013/2014,Provisional,00F,Q49,Y54,Paying Adult,11314,19284,13476,1629.6,0,19.2,241,0,1,45964.8
Q1,2013/2014,Provisional,00G,Q49,Y54,Child,4296,5220,432,256.8,0,0,0,0,0,10204.8
Q1,2013/2014,Provisional,00G,Q49,Y54,Non-Paying Adult,2324,8181,12636,1173.6,2.4,2.4,29,0,0,24348.4
Q1,2013/2014,Provisional,00G,Q49,Y54,Paying Adult,7968,12585,9300,1467.6,0,25.2,95,0,0,31440.8
Q1,2013/2014,Provisional,00H,Q49,Y54,Child,5041,5679,540,600,0,0,0,0,0,11860
Q1,2013/2014,Provisional,00H,Q49,Y54,Non-Paying Adult,2873,8922,13368,2239.2,0,1.2,36,0,0,27439.4
Q1,2013/2014,Provisional,00H,Q49,Y54,Paying Adult,7356,11352,8088,2029.2,0,14.4,93,0,3,28935.6
